019-12-25T23:42:29.081+07:00	INFO 	R1 receive event <-495:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>32
2019-12-25T23:43:56.280+07:00	INFO 	P1 receive event <-464:Evt,DF022,FOUP Door Unlatched On>2D
2019-12-25T23:43:56.328+07:00	INFO 	P1 receive event <-465:Evt,DF011,Clamped On>3C
2019-12-25T23:43:56.332+07:00	INFO 	P1 receive event <-466:Evt,DF014,Unclamped Off>81
2019-12-25T23:43:56.870+07:00	INFO 	P1 receive event <-467:Evt,DF018,Undocked Off>1A
2019-12-25T23:43:57.342+07:00	INFO 	P1 receive event <-468:Evt,DF015,Docked On>D7
2019-12-25T23:43:57.781+07:00	INFO 	P1 receive event <-469:Evt,DF030,PDO Docked On>D8
2019-12-25T23:43:57.831+07:00	INFO 	P1 receive event <-470:Evt,DF031,PDO Docked Off>2F
2019-12-25T23:44:01.432+07:00	INFO 	P1 receive event <-471:Evt,DF032,PDO Undocked On>B6
2019-12-25T23:44:01.466+07:00	INFO 	P1 receive event <-472:Evt,DF035,PDO Raised Off>43
2019-12-25T23:44:04.315+07:00	INFO 	P1 receive event <-473:Evt,DF036,POD Lowered On>61
2019-12-25T23:44:04.320+07:00	INFO 	P1 receive event <-474:Evt,DF040,Mapper in safe location>3F
2019-12-25T23:44:04.972+07:00	INFO 	P1 receive message <178:Res,0,OK>26
2019-12-25T23:44:05.003+07:00	INFO 	P1 send <188:GetMap>19
2019-12-25T23:44:05.030+07:00	INFO 	P1 receive message <188:Ack,0>46
2019-12-25T23:44:05.056+07:00	INFO 	P1 receive message <188:Res,0,25,1;0.76;0.04,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00>A4
2019-12-25T23:44:10.137+07:00	INFO 	R1 send <900:GetWaf,R1:B1,P1:1>85
2019-12-25T23:44:10.168+07:00	INFO 	R1 receive message <900:Ack,0>3E
2019-12-25T23:44:11.167+07:00	INFO 	R1 receive event <-515:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>2B
2019-12-25T23:44:12.657+07:00	INFO 	R1 receive event <-516:Evt,8F203,3,R1:B1,P1:1,GetWaf,^1 is now retracted from ^2 during ^3 command>94
2019-12-25T23:44:12.686+07:00	INFO 	R1 receive message <900:Res,0>59
2019-12-25T23:44:12.715+07:00	INFO 	R1 send <904:QryCpos,R1:B1,Symbl>37
2019-12-25T23:44:12.743+07:00	INFO 	R1 receive message <904:Ack,0>42
2019-12-25T23:44:12.776+07:00	INFO 	R1 receive message <904:Res,P1:1,Safe>C4
2019-12-25T23:44:12.807+07:00	INFO 	R1 send <905:PutWaf,R1:B1,P1:25>D9
2019-12-25T23:44:12.837+07:00	INFO 	R1 receive message <905:Ack,0>43
2019-12-25T23:44:13.557+07:00	INFO 	R1 receive event <-517:Evt,8F201,3,R1:B1,P1:25,PutWaf,^1 is now pointing at ^2 during ^3 command>AD
2019-12-25T23:44:14.562+07:00	INFO 	R1 receive event <-518:Evt,8F202,3,R1:B1,P1:25,PutWaf,^1 is now extended into ^2 during ^3 command>7D
2019-12-25T23:44:15.827+07:00	INFO 	R1 receive event <-519:Evt,8F203,3,R1:B1,P1:25,PutWaf,^1 is now retracted from ^2 during ^3 command>E6
2019-12-25T23:44:15.868+07:00	INFO 	R1 receive message <905:Res,0>5E
2019-12-25T23:44:15.896+07:00	INFO 	R1 send <909:QryCpos,R1:B1,Symbl>3C
2019-12-25T23:44:15.927+07:00	INFO 	R1 receive message <909:Ack,0>47
2019-12-25T23:44:15.956+07:00	INFO 	R1 receive message <909:Res,P1:25,Safe>FF
2019-12-25T23:44:25.990+07:00	INFO 	R1 send <920:GetWaf,R1:B1,P1:25>BD
2019-12-25T23:44:26.028+07:00	INFO 	R1 receive message <920:Ack,0>40
2019-12-25T23:44:27.017+07:00	INFO 	R1 receive event <-520:Evt,8F202,3,R1:B1,P1:25,GetWaf,^1 is now extended into ^2 during ^3 command>5D
2019-12-25T23:44:28.507+07:00	INFO 	R1 receive event <-521:Evt,8F203,3,R1:B1,P1:25,GetWaf,^1 is now retracted from ^2 during ^3 command>C6
2019-12-25T23:44:28.535+07:00	INFO 	R1 receive message <920:Res,0>5B
2019-12-25T23:44:28.564+07:00	INFO 	R1 send <924:QryCpos,R1:B1,Symbl>39
2019-12-25T23:44:28.595+07:00	INFO 	R1 receive message <924:Ack,0>44
2019-12-25T23:44:28.629+07:00	INFO 	R1 receive message <924:Res,P1:25,Safe>FC
2019-12-25T23:44:28.662+07:00	INFO 	R1 send <925:PutWaf,R1:B1,P1:1>A5
2019-12-25T23:44:28.689+07:00	INFO 	R1 receive message <925:Ack,0>45
2019-12-25T23:44:29.412+07:00	INFO 	R1 receive event <-522:Evt,8F201,3,R1:B1,P1:1,PutWaf,^1 is now pointing at ^2 during ^3 command>73
2019-12-25T23:44:30.418+07:00	INFO 	R1 receive event <-523:Evt,8F202,3,R1:B1,P1:1,PutWaf,^1 is now extended into ^2 during ^3 command>43
2019-12-25T23:44:31.683+07:00	INFO 	R1 receive event <-524:Evt,8F203,3,R1:B1,P1:1,PutWaf,^1 is now retracted from ^2 during ^3 command>AC
2019-12-25T23:44:31.713+07:00	INFO 	R1 receive message <925:Res,0>60
2019-12-25T23:44:31.741+07:00	INFO 	R1 send <929:QryCpos,R1:B1,Symbl>3E
2019-12-25T23:44:31.774+07:00	INFO 	R1 receive message <929:Ack,0>49
2019-12-25T23:44:31.804+07:00	INFO 	R1 receive message <929:Res,P1:1,Safe>CB
2019-12-25T23:44:36.840+07:00	INFO 	P1 send <221:Unload,Unclamp>2E
2019-12-25T23:44:36.877+07:00	INFO 	P1 receive message <221:Ack,0>3A
2019-12-25T23:44:37.559+07:00	INFO 	P1 receive event <-475:Evt,DF037,POD Lowered Off>C2
2019-12-25T23:44:37.564+07:00	INFO 	P1 receive event <-476:Evt,DF041,Mapper not in safe location>B3
2019-12-25T23:44:39.666+07:00	INFO 	P1 receive event <-477:Evt,DF034,PDO Raised On>E9
2019-12-25T23:44:39.695+07:00	INFO 	P1 receive event <-478:Evt,DF033,PDO Undocked Off>1C
2019-12-25T23:44:40.955+07:00	INFO 	P1 receive event <-479:Evt,DF030,PDO Docked On>D9
2019-12-25T23:44:40.964+07:00	INFO 	P1 receive event <-480:Evt,DF023,FOUP Door Unlatched Off>8A
2019-12-25T23:44:40.966+07:00	INFO 	P1 receive event <-481:Evt,DF020,FOUP Door Latched On>47
2019-12-25T23:44:40.986+07:00	INFO 	P1 receive event <-482:Evt,DF025,FOUP Door Unchucked>55
2019-12-25T23:44:41.924+07:00	INFO 	P1 receive event <-483:Evt,DF016,Docked Off>33
2019-12-25T23:44:42.502+07:00	INFO 	P1 receive event <-484:Evt,DF017,Undocked On>BA
